Job Title,Key Skills,Functional Area
 Assistant Manager , Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Android Developer, android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications,"IT Software - Application Programming , Maintenance"
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad, cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 iOS Developer, bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation,IT Software - Mobile
 F&A Black belt - Process Excellence Lead, Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 IT - Head (preferably from an NGO), networking| information technology| network administration| technical support| support services| license management| disaster recovery| data security| it training| it software,Other
 Digital Content Producer For largest Media House, Automobile| Digital Content| Content Development| Production| Web Content Writing,"Journalism , Editing , Content"
 Manager Holidays, Tourism| target achievement| negotiation skills| revenue management| Tour Packages,"Sales , Retail , Business Development"
 Backend Developer, PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing,"IT Software - Application Programming , Maintenance"
 Chief Engineer, Chief Engineer| Hospitality| HVAC| Maintenance| Water Treatment| Energy Conservation| Capital Expenditure,Top Management
 Oracle DBA Consultant - Data Guard/rac Modules, WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC,"IT Software - DBA , Datawarehousing"
 Global HR Operations Analyst, Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management,"HR , Recruitment , Administration , IR"
 Compiler- Support Engineer, Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD,"IT Software - Application Programming , Maintenance"
 Head Sales- Coworking Company, Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing,"Sales , Retail , Business Development"
" Clubhouse Manager, Facility Manager,", Facility Management| facility services,Beauty / Fitness / Spa Services
 IP DRG / Surgery / ED / Denials Coders, sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Sales Manager - Education Sales, Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding,"Sales , Retail , Business Development"
